# Data from the National Nuclear Data Center
# 'Li(d,α)α' cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19790&mf=3&mt=800
# beam energy / eV,"σ / barns"
3.000000e+3,4.03200e-30
4.000000e+3,8.98240e-26
5.000000e+3,8.09570e-23
6.000000e+3,1.20580e-20
7.000000e+3,5.81190e-19
1.000000e+4,1.49640e-15
1.500000e+4,2.21890e-12
2.000000e+4,1.63130e-10
2.500000e+4,2.961000e-9
3.000000e+4,2.457400e-8
4.000000e+4,4.578900e-7
5.000000e+4,3.233300e-6
6.000000e+4,1.328500e-5
7.000000e+4,3.894500e-5
8.000000e+4,9.098900e-5
9.000000e+4,1.809900e-4
1.000000e+5,3.196400e-4
1.200000e+5,7.745500e-4
1.400000e+5,1.490100e-3
1.600000e+5,2.456600e-3
1.800000e+5,3.632600e-3
2.000000e+5,4.961300e-3
2.500000e+5,8.576900e-3
3.000000e+5,1.209800e-2
3.500000e+5,1.521500e-2
4.000000e+5,1.787500e-2
4.500000e+5,2.012900e-2
5.000000e+5,2.204700e-2
6.000000e+5,2.506500e-2
7.000000e+5,2.714600e-2
8.000000e+5,2.835100e-2
9.000000e+5,2.871500e-2
1.000000e+6,2.831600e-2
1.100000e+6,2.728500e-2
1.250000e+6,2.492700e-2
1.400000e+6,2.212900e-2
1.550000e+6,1.938600e-2
1.700000e+6,1.702600e-2
1.850000e+6,1.521800e-2
2.000000e+6,1.401900e-2
2.150000e+6,1.342600e-2
2.300000e+6,1.340300e-2
2.450000e+6,1.389800e-2
2.600000e+6,1.485100e-2
2.750000e+6,1.618500e-2
2.900000e+6,1.780200e-2
3.050000e+6,1.956700e-2
3.200000e+6,2.130700e-2
3.350000e+6,2.281600e-2
3.500000e+6,2.388900e-2
3.650000e+6,2.436200e-2
3.800000e+6,2.416200e-2
3.950000e+6,2.332700e-2
4.100000e+6,2.198600e-2
4.250000e+6,2.031700e-2
4.400000e+6,1.849500e-2
4.550000e+6,1.666500e-2
4.700000e+6,1.492400e-2
4.850000e+6,1.333100e-2
5.000000e+6,1.191100e-2
