# Data from the National Nuclear Data Center
# ³He(d,p)⁴He cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19789&mf=3&mt=600
# then reformatted using mathematica
#"beam energy / eV","σ/barns"
9.000000e+2,2.79470e-37
1.000000e+3,3.06810e-35
2.000000e+3,3.04010e-24
3.000000e+3,2.05170e-19
4.000000e+3,1.48370e-16
5.000000e+3,1.29200e-14
6.000000e+3,3.43450e-13
7.000000e+3,4.34400e-12
8.000000e+3,3.32940e-11
9.000000e+3,1.78670e-10
1.000000e+4,7.36260e-10
1.100000e+4,2.478700e-9
1.200000e+4,7.120600e-9
1.300000e+4,1.801200e-8
1.400000e+4,4.106800e-8
1.600000e+4,1.672300e-7
1.800000e+4,5.317000e-7
2.000000e+4,1.407700e-6
2.200000e+4,3.240200e-6
2.400000e+4,6.683200e-6
2.600000e+4,1.262500e-5
2.800000e+4,2.220000e-5
3.000000e+4,3.679000e-5
3.500000e+4,1.063400e-4
4.000000e+4,2.485800e-4
4.500000e+4,4.999500e-4
5.000000e+4,8.999400e-4
5.500000e+4,1.488700e-3
6.000000e+4,2.305400e-3
6.500000e+4,3.387000e-3
7.000000e+4,4.767700e-3
7.500000e+4,6.478700e-3
8.000000e+4,8.548300e-3
8.500000e+4,1.100200e-2
9.000000e+4,1.386200e-2
9.500000e+4,1.715000e-2
1.000000e+5,2.088500e-2
1.100000e+5,2.976200e-2
1.200000e+5,4.061400e-2
1.300000e+5,5.355000e-2
1.400000e+5,6.866000e-2
1.500000e+5,8.602800e-2
1.600000e+5,1.057200e-1
1.700000e+5,1.277900e-1
1.800000e+5,1.522700e-1
1.900000e+5,1.791600e-1
2.000000e+5,2.084200e-1
2.100000e+5,2.399900e-1
2.200000e+5,2.737200e-1
2.300000e+5,3.094300e-1
2.400000e+5,3.468600e-1
2.500000e+5,3.856800e-1
2.600000e+5,4.255100e-1
2.700000e+5,4.658600e-1
2.800000e+5,5.062200e-1
2.900000e+5,5.460300e-1
3.000000e+5,5.847000e-1
3.100000e+5,6.216400e-1
3.200000e+5,6.562900e-1
3.300000e+5,6.881500e-1
3.400000e+5,7.167900e-1
3.500000e+5,7.418600e-1
3.600000e+5,7.631400e-1
3.700000e+5,7.805000e-1
3.800000e+5,7.939200e-1
3.900000e+5,8.034900e-1
4.000000e+5,8.093800e-1
4.020000e+5,8.101300e-1
4.040000e+5,8.107500e-1
4.060000e+5,8.112300e-1
4.080000e+5,8.115900e-1
4.100000e+5,8.118100e-1
4.120000e+5,8.119100e-1
4.125000e+5,8.119100e-1
4.130000e+5,8.119100e-1
4.150000e+5,8.118200e-1
4.170000e+5,8.116100e-1
4.190000e+5,8.112800e-1
4.210000e+5,8.108400e-1
4.230000e+5,8.102900e-1
4.250000e+5,8.096200e-1
4.300000e+5,8.074900e-1
4.400000e+5,8.014000e-1
4.500000e+5,7.931300e-1
4.600000e+5,7.830000e-1
4.700000e+5,7.713500e-1
4.800000e+5,7.584400e-1
4.900000e+5,7.445600e-1
5.000000e+5,7.299200e-1
5.500000e+5,6.518600e-1
6.000000e+5,5.760400e-1
6.500000e+5,5.089100e-1
7.000000e+5,4.517200e-1
7.500000e+5,4.036900e-1
8.000000e+5,3.634600e-1
8.500000e+5,3.296700e-1
9.000000e+5,3.011300e-1
9.500000e+5,2.768800e-1
1.000000e+6,2.561200e-1
1.100000e+6,2.226900e-1
1.200000e+6,1.972100e-1
1.300000e+6,1.773300e-1
1.400000e+6,1.614800e-1
