# Data from the National Nuclear Data Center
# 'h(t,d)α' cross section
# https://www.nndc.bnl.gov/sigma/getInterpreted.jsp?evalid=19792&mf=3&mt=111
# beam energy / eV,"σ / barns"
2.000000e+3,2.81410e-31
4.000000e+3,8.36360e-22
6.000000e+3,1.19110e-17
8.000000e+3,3.40180e-15
1.000000e+4,1.56930e-13
1.200000e+4,2.60710e-12
1.400000e+4,2.28620e-11
1.600000e+4,1.30330e-10
1.800000e+4,5.46910e-10
2.000000e+4,1.829200e-9
2.500000e+4,1.894800e-8
3.000000e+4,1.044400e-7
3.500000e+4,3.882700e-7
4.000000e+4,1.107600e-6
4.500000e+4,2.618100e-6
5.000000e+4,5.385600e-6
6.000000e+4,1.696100e-5
7.000000e+4,4.075700e-5
8.000000e+4,8.169000e-5
9.000000e+4,1.439800e-4
1.000000e+5,2.308100e-4
1.200000e+5,4.850300e-4
1.400000e+5,8.482700e-4
1.600000e+5,1.312200e-3
1.800000e+5,1.861700e-3
2.000000e+5,2.479100e-3
2.200000e+5,3.146900e-3
2.400000e+5,3.849000e-3
2.600000e+5,4.571900e-3
2.800000e+5,5.304300e-3
3.000000e+5,6.037400e-3
3.500000e+5,7.832300e-3
4.000000e+5,9.527000e-3
4.500000e+5,1.109500e-2
5.000000e+5,1.253200e-2
5.500000e+5,1.384200e-2
6.000000e+5,1.503400e-2
7.000000e+5,1.710600e-2
8.000000e+5,1.881900e-2
9.000000e+5,2.023000e-2
1.000000e+6,2.138500e-2
1.100000e+6,2.231400e-2
1.200000e+6,2.304700e-2
1.300000e+6,2.360600e-2
1.400000e+6,2.401400e-2
1.500000e+6,2.428900e-2
1.600000e+6,2.445000e-2
1.700000e+6,2.451500e-2
1.800000e+6,2.450100e-2
1.900000e+6,2.442100e-2
2.000000e+6,2.428900e-2
2.100000e+6,2.411700e-2
2.200000e+6,2.391400e-2
2.300000e+6,2.369100e-2
2.400000e+6,2.345300e-2
2.500000e+6,2.320900e-2
3.000000e+6,2.205200e-2
3.500000e+6,2.128300e-2
4.000000e+6,2.174000e-2
4.500000e+6,2.233800e-2
5.000000e+6,2.295800e-2
6.000000e+6,2.425100e-2
7.000000e+6,2.558800e-2
8.000000e+6,2.693500e-2
9.000000e+6,2.826200e-2
1.000000e+7,2.953600e-2
1.100000e+7,3.072500e-2
1.200000e+7,3.179600e-2
1.300000e+7,3.271700e-2
1.400000e+7,3.345700e-2
1.500000e+7,3.398300e-2
1.600000e+7,3.426300e-2
1.700000e+7,3.426500e-2
1.800000e+7,3.395600e-2
1.900000e+7,3.330500e-2
2.000000e+7,3.228000e-2
